Source:,Medidor\Medidor.sch,,,,
Date:,01/08/2019 08:56:56,,,,
Tool:,Eeschema (5.1.2)-1,,,,
Component Count:,52,,,,
Ref,Value,Footprint,Datasheet,Manufacturer,Vendor
C1,12pF,Capacitor_SMD:C_0402_1005Metric,~,,
C2,12pF,Capacitor_SMD:C_0402_1005Metric,~,,
C3,1uF,Capacitor_SMD:C_0402_1005Metric,~,,
C4,100pF,Capacitor_SMD:C_0402_1005Metric,~,,
C5,0.1uF,Capacitor_SMD:C_0402_1005Metric,~,,
C7,4.7uF,Capacitor_SMD:C_0603_1608Metric,~,,
C8,100nF,Capacitor_SMD:C_0402_1005Metric,~,,
C9,100nF,Capacitor_SMD:C_0402_1005Metric,~,,
C10,100nF,Capacitor_SMD:C_0402_1005Metric,~,,
C11,0.1uF,Capacitor_SMD:C_0402_1005Metric,~,,
C12,0.1uF,Capacitor_SMD:CP_Elec_4x3,~,,
C13,NC,Capacitor_SMD:C_0402_1005Metric,~,,
C14,0.1uF,Capacitor_SMD:C_0402_1005Metric,~,,
C15,0.1uF,Capacitor_SMD:C_0402_1005Metric,~,,
C16,0.33uF,Capacitor_SMD:CP_Elec_4x3,~,,
D1,LED,LED_SMD:LED_0603_1608Metric,~,,
Display1,OLED,Medidor:OLED,,,
Fil1,2450FM07A0029T,Medidor:baloon,,,
J1,TC2030-CTX-TAG_CONECT,Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,TC2030-CTX,,
L1,10uH,Inductor_SMD:L_0603_1608Metric,~,,
L2,15nH,Inductor_SMD:L_0402_1005Metric,~,,
MCU1,nRF52832-QFN4,Package_DFN_QFN:QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm,,,
R1,Shunt,Resistor_SMD:R_0805_2012Metric,~,,
R2,1kΩ,Resistor_SMD:R_0402_1005Metric,~,,
R3,1kΩ,Resistor_SMD:R_0402_1005Metric,~,,
R6,NC,Resistor_SMD:R_0402_1005Metric,~,,
R7,0,Resistor_SMD:R_0402_1005Metric,~,,
R8,NC,Resistor_SMD:R_0402_1005Metric,~,,
R9,10KΩ,Resistor_SMD:R_0402_1005Metric,~,,
R10,10KΩ,Resistor_SMD:R_0402_1005Metric,~,,
R11,10KΩ,Resistor_SMD:R_0402_1005Metric,~,,
R12,10KΩ,Resistor_SMD:R_0402_1005Metric,~,,
R13,50Ω,Resistor_SMD:R_0402_1005Metric,~,,
R14,10KΩ,Resistor_SMD:R_0402_1005Metric,~,,
R15,10Ω,Resistor_SMD:R_0402_1005Metric,~,,
R16,10Ω,Resistor_SMD:R_0402_1005Metric,~,,
SW1,Rotary_Encoder_Switch,Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,~,,
SW2,SW_DPST_x2,Medidor:botao,,,
TER1,terminal-medidor,,,,
U1,INA219-INA,Package_TO_SOT_SMD:SuperSOT-8,the ina219 is a high-side current shunt and power monitor with an i2c interface. the ina219 monitors both shunt drop ...,,
U2,Serial,,,,
U3,2450AT18D0100,Medidor:2450AT18D0100,,,
U4,Fiducial,Fiducial:Fiducial_0.75mm_Mask1.5mm,,,
U5,Fiducial,Fiducial:Fiducial_0.75mm_Mask1.5mm,,,
U6,Fiducial,Fiducial:Fiducial_0.75mm_Mask1.5mm,,,
U7,spacer,Medidor:spacer,,,
U8,spacer,Medidor:spacer,,,
U9,spacer,Medidor:spacer,,,
U10,spacer,Medidor:spacer,,,
US1,USB,,,,
X1,32MHz,Medidor:cristal,~,,
dc1,DC-DC,Package_TO_SOT_SMD:SuperSOT-8,,,
